"Title","Year","Length","Budget","Rating","Votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"B*A*P*S",1997,91,-1,3.5,572,24.5,14.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"B. Monkey",1998,93,-1,6.1,833,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,1,0
"BASEketball",1998,103,-1,6.1,7096,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Ba wang bie ji",1993,171,-1,7.7,3098,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,"R",0,0,0,1,0,1,0
"Baby Boy",2001,130,1.6e+07,6.2,1476,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,1,0
"Baby Face Nelson",1995,93,-1,4.7,60,14.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,14.5,"R",1,0,0,0,0,0,0
"Baby Geniuses",1999,97,1.3e+07,2.4,3142,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Baby Take a Bow",1934,76,-1,5.8,98,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,24.5,"PG",0,0,1,1,0,0,0
"Baby-Sitters Club, The",1995,90,-1,5,607,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,14.5,"PG",0,0,1,0,0,0,0
"Babymother",1998,82,-1,3.1,29,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,24.5,"R",0,0,0,1,0,0,0
"Babysitter, The",1995,90,-1,4.1,879,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Bachelor, The",1999,101,2.1e+07,5,4183,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0
"BachelorMan",2003,87,-1,5.1,101,4.5,4.5,4.5,4.5,4.5,14.5,4.5,14.5,4.5,24.5,"R",0,0,1,0,0,0,0
"Back Lot Murders, The",2002,90,-1,3.7,119,24.5,4.5,14.5,4.5,4.5,14.5,4.5,4.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Back in Business",1997,93,-1,4.1,93,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Back of Beyond",1995,85,-1,5.2,67,4.5,4.5,4.5,4.5,4.5,24.5,14.5,14.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Back to Even",1998,89,-1,3.9,40,24.5,4.5,14.5,14.5,24.5,4.5,4.5,4.5,0,4.5,"R",0,0,0,0,0,0,0
"Backdraft",1991,132,-1,6.6,12637,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Backfire!",1995,93,-1,3.2,79,34.5,4.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Backstage",2000,86,-1,5,57,14.5,0,4.5,4.5,14.5,4.5,14.5,14.5,4.5,24.5,"R",0,0,0,0,1,0,0
"Backyard Dogs",2000,96,-1,1.9,1304,64.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",1,0,0,1,0,0,0
"Bad Boys",1995,118,2.3e+07,6.4,15326,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0
"Bad Boys II",2003,145,1.3e+08,6.1,13087,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"R",1,0,1,0,0,0,0
"Bad City Blues",1999,96,-1,4.6,36,14.5,14.5,14.5,4.5,4.5,14.5,4.5,4.5,4.5,24.5,"R",0,0,0,1,0,0,0
"Bad Company",2002,116,7e+07,5.4,6175,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Bad Day On the Block",1997,104,-1,4.8,356,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Bad Faith",2000,97,-1,4.7,41,14.5,14.5,4.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Bad Karma",2002,92,-1,4,174,14.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Bad Manners",1997,88,-1,6.3,140,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Bad Moon",1996,80,7e+06,4.4,519,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",1,0,0,0,0,0,0
"Bad Santa",2003,98,1.8e+07,7.2,11189,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,0,0,0,0
"Badge, The",2002,103,6e+06,6.3,740,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Bai ga jai",1982,100,-1,7.7,278,4.5,4.5,0,4.5,4.5,4.5,14.5,24.5,24.5,34.5,"R",1,0,1,0,0,0,0
"Bait",2000,119,3.5e+07,5.6,1884,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"R",1,0,1,0,0,0,0
"Balance of Power",1996,92,-1,4.3,63,4.5,4.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
