"Title","Year","Length","Budget","Rating","Votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"C'era una volta il West",1968,158,5e+06,8.7,17241,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"PG-13",0,0,0,1,0,0,0
"CQ",2001,91,7e+06,6.4,1315,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,"R",0,0,1,1,0,0,0
"Cabin Fever",2002,93,1500000,5.1,7776,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Cable Guy, The",1996,96,4.7e+07,5.5,16266,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"PG-13",0,0,1,1,0,0,0
"Cachorro",2004,100,-1,7.4,210,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0
"Cadillac Ranch",1996,100,-1,5.3,89,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Caduta degli dei, La",1969,150,-1,7.3,708,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,0,1,0,0,0
"Cafe Society",1995,104,3500000,5.7,137,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Caged Hearts",1995,94,-1,3.7,47,14.5,24.5,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Calcium Kid, The",2004,89,-1,5.4,423,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Calendar Girls",2003,108,-1,7.1,3618,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"PG-13",0,0,1,1,0,0,0
"Caligula",1996,51,-1,1.5,15,44.5,14.5,4.5,0,4.5,14.5,0,0,0,14.5,"R",0,0,0,1,0,0,0
"Calling Bobcat",2000,91,230000,5,42,14.5,4.5,4.5,4.5,0,4.5,4.5,4.5,14.5,34.5,"R",0,0,0,0,0,0,0
"Camp",2003,114,-1,6.6,1332,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"PG-13",0,0,1,1,0,0,0
"Campfire Tales",1997,88,-1,5.6,561,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Can't Be Heaven",2000,94,2e+06,5.7,104,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,34.5,"PG",0,0,1,1,0,1,0
"Can't Hardly Wait",1998,101,1e+07,6.2,8191,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,0,1,0,0,1,0
"Candyman: Farewell to the Flesh",1995,93,-1,4.5,1176,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Cannes Man",1996,88,-1,5.4,130,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,1,1,0,0,0
"Cape Fear",1991,128,3.5e+07,7.1,15585,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Captain Corelli's Mandolin",2001,131,5.7e+07,5.9,5281,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,1,0
"Captain Nuke and the Bomber Boys",1995,90,-1,4.5,80,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,4.5,24.5,"PG",0,0,1,0,0,0,0
"Captiva Island",1995,85,-1,4.5,35,14.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,24.5,"PG",0,0,1,1,0,1,0
"Captives",1994,100,-1,6.1,541,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Captured",2000,95,-1,2.7,201,24.5,24.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Captured Alive",1995,83,-1,1.5,12,45.5,4.5,0,4.5,4.5,0,4.5,0,0,14.5,"R",0,0,0,0,0,0,0
"Carandiru",2003,147,6e+06,7.7,1608,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Career Girls",1997,87,-1,7,1156,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Carman: The Champion",2001,82,-1,4.6,412,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,45.5,"PG-13",1,0,0,1,0,0,0
"Carnal Desires",1999,87,-1,2.8,42,14.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Carnival of Souls",1998,90,2e+06,2.8,462,34.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Carpool",1996,89,1.7e+07,4.5,829,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Carried Away",1996,109,-1,6.4,393,4.5,4.5,4.5,4.5,14.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Carrington",1995,121,-1,6.5,1401,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Casa de los babys",2003,95,-1,6.7,572,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Casino",1995,176,5.2e+07,7.8,27234,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"R",0,0,0,1,0,0,0
"Casper",1995,100,5.5e+07,5.6,8798,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Cast Away",2000,143,9e+07,7.3,34580,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"PG-13",0,0,0,1,0,0,0
"Castle Freak",1995,95,-1,4.9,573,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Casualties",1997,85,-1,5.4,221,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Cat in the Hat, The",2003,82,1.09e+08,3.2,4997,44.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Cat's Meow, The",2001,114,-1,6.5,2195,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Catch Me If You Can",2002,141,5.2e+07,7.6,39915,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,"PG-13",0,0,0,1,0,0,0
"Catch That Kid",2004,91,1.8e+07,4.5,598,14.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,"PG",1,0,1,0,0,0,0
"Catfish in Black Bean Sauce",1999,119,-1,6.7,181,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,4.5,14.5,"PG-13",0,0,1,1,0,0,0
"Catherine's Grove",1997,91,-1,3.1,38,14.5,14.5,4.5,24.5,14.5,14.5,14.5,0,0,4.5,"R",0,0,0,1,0,0,0
"Cats & Dogs",2001,87,6e+07,5.4,6487,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Catwoman",2004,104,8.5e+07,3.4,8815,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"PG-13",1,0,0,0,0,0,0
"Caught",1996,110,-1,6.5,317,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Caught Up",1998,97,-1,4.8,188,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Cause of Death",2000,95,-1,4.4,85,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Cavedweller",2004,101,-1,4.8,110,4.5,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Caveman's Valentine, The",2001,105,-1,6,1505,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Cecil B. DeMented",2000,87,1e+07,6,3464,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Celebrity",1998,113,1.2e+07,6.1,4820,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Cell, The",2000,109,3.3e+07,6.1,16118,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Cellblock Sisters: Banished Behind Bars",1995,95,-1,3,102,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,"R",0,0,0,1,0,0,0
"Cellular",2004,94,2.5e+07,6.4,6182,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Celsius 41.11: The Temperature at Which the Brain... Begins to Die",2004,72,-1,3.8,584,44.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,44.5,"R",0,0,0,0,1,0,0
"Cement",1999,97,-1,5.3,99,4.5,4.5,4.5,4.5,14.5,24.5,4.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Centerfold",1996,86,-1,4.2,35,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Century",1993,112,-1,5.6,68,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Century Hotel",2001,95,-1,6.7,166,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,1,0,1,0
"Cero y van cuatro",2004,92,-1,7.3,26,14.5,0,0,4.5,0,4.5,14.5,34.5,14.5,4.5,"R",0,0,1,0,0,0,0
"Chain Reaction",1996,106,5.5e+07,5.1,5936,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"Chain of Command",2000,96,-1,4.6,299,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Chain of Fools",2000,96,2e+07,6.1,845,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Chairman of the Board",1998,95,1e+07,2.6,666,44.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"Chakushin ari",2003,111,-1,6.4,691,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Chamber, The",1996,113,5e+07,5.7,2540,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Chameleon",1995,108,-1,5.7,177,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Champions",1998,99,-1,3.3,86,14.5,24.5,14.5,4.5,4.5,4.5,4.5,4.5,0,14.5,"R",0,0,0,0,0,0,0
"Changing Habits",1997,95,1200000,5.5,134,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Changing Lanes",2002,99,4.5e+07,6.6,12779,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Chao ji ji hua",1993,104,-1,5.8,554,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0
"Chaos Factor, The",2000,95,-1,4.5,109,4.5,14.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Chapter Perfect",1998,100,-1,2.1,13,24.5,4.5,14.5,4.5,14.5,0,0,0,4.5,24.5,"R",0,0,0,1,0,0,0
